City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
575,sur,22.5667,59.5289,35.43000000000001,43,5,1.65,OM,1717125688
576,modimolle,-24.7,28.4,11.350000000000023,50,0,1.63,ZA,1717125689
577,arish,31.1316,33.7984,20.25,65,0,1.18,EG,1717125691
578,nguigmi,14.2495,13.1092,29.400000000000034,51,38,2.23,NE,1717125692
579,pillaro,-1.1741,-78.5468,11.650000000000034,87,93,2.03,EC,1717125704
580,mersa matruh,31.3529,27.2373,22.400000000000034,42,20,5.59,EG,1717125705
581,flying fish cove,-10.4217,105.6791,27.82000000000005,78,75,4.63,CX,1717125707
582,rio san juan,19.6439,-70.0764,26.260000000000048,88,100,4.01,DO,1717125708
583,cockburn town,21.4612,-71.1419,27.460000000000036,88,79,8.5,TC,1717125638
584,kaa-khem,51.6833,94.7333,19.670000000000016,26,17,1.68,RU,1717125716
585,borogontsy,62.6706,131.1634,26.970000000000027,25,30,4.33,RU,1717125718
586,konibodom,40.2941,70.4312,24.75,28,0,1.94,TJ,1717125719
587,puerto rico,27.7894,-15.7105,20.970000000000027,79,27,4.22,ES,1717125720
588,polyarnyy,69.1989,33.4478,13.29000000000002,79,65,4.36,RU,1717125721
589,autun,46.951,4.2987,9.900000000000034,86,99,2.0,FR,1717125734
